id,content,start,end,Category,style
1,Intro Assignment,2022-01-24,,Individual Assignment,background-color: gold;
2,Paper Critique,2022-02-07,,Paper Critique,background-color: aqua;
3,Analysis Assignment,2022-02-28,,Individual Assignment,background-color: pink;
4,Project Groups and Initial Proposal,2022-01-28,,Group Project,background-color: lavender;
5,Finalized Project Proposal,2022-02-11,,Group Project,background-color: lavender;
6,Project Progress Report,2022-03-11,,Group Project,background-color: lavender;
8,Github Repo & Slides,2022-03-30,,Group Project,background-color: lavender;
9,Individual Report,2022-04-06,,Group Project,background-color: lavender;
10,Seminar 1,2022-01-14,,Seminar,background-color: palegreen;
11,Seminar 2a & 2b,2022-01-21,,Seminar,background-color: palegreen;
12,Seminar 3,2022-01-28,,Seminar,background-color: palegreen;
13,Seminar 4,2022-02-04,,Seminar,background-color: palegreen;
14,Seminar 5,2022-02-11,,Seminar,background-color: palegreen;
15,Seminar 7,2022-03-04,,Seminar,background-color: palegreen;
16,Presentation Day 1,2022-03-30,,Group Project,background-color: #6600ff; color: white;
17,Presentation Day 2,2022-04-04,,Group Project,background-color: #6600ff; color: white;
18,Presentation Day 3,2022-04-06,,Group Project,background-color: #6600ff; color: white;
